Date,Details,Debit,Credit,Balance
28/10/2020,365 Online  80323407,,2000.0,1897.75
28/10/2020,POSC27OCT SUPERVALU D,7.55,,
28/10/2020,POSC27OCT SPAR NEWTOW,11.99,,
28/10/2020,POSC27OCT F.X. BUCKLE,11.58,,
27/10/2020,365 Online  Kat Clin,162.0,,-71.13000000000001
27/10/2020,POS24OCT MARKS & SPEN,50.22,,
27/10/2020,POS22OCT PAYPAL *ASOS,15.67,,
27/10/2020,POS23OCT TESCO STORE,60.75,,
27/10/2020,POS23OCT Haven Pharma,124.0,,
27/10/2020,OP/CREATION   SEPA DD,79.45,,
27/10/2020,POSC24OCT Petland,9.9,,
27/10/2020,POSC23OCT SPAR NEWTOW,5.19,,
27/10/2020,POSC24OCT Frascati Sh,2.0,,
27/10/2020,POSC25OCT Butlers Mon,23.45,,
27/10/2020,POSC23OCT DEALZ 1620,14.0,,
27/10/2020,POSC23OCT SPAR NEWTOW,12.5,,
27/10/2020,POSC23OCT BEACON HOSP,3.0,,
23/10/2020,POS22OCT PRIMROSE HIL,77.11,,490.99999999999994
23/10/2020,POS22OCT Just Eat,28.49,,
23/10/2020,POSC22OCT DUNNES - PL,12.27,,
22/10/2020,P2110GB  9.99@1.11011,11.09,,608.8699999999999
22/10/2020,NEPOSCHGGBP 000000.22,0.22,,
22/10/2020,SSEAirtricity SEPA DD,192.0,,
22/10/2020,POSC21OCT SPAR NEWTOW,2.29,,
22/10/2020,POSC21OCT URBAN WAX,27.5,,
22/10/2020,POSC21OCT Lush UK,17.71,,
21/10/2020,POS20OCT URBAN WAX,27.5,,859.68
21/10/2020,VIRGIN MEDIA  SEPA DD,75.99,,
20/10/2020,POS19OCT NEWPARK SERV,9.4,,963.17
19/10/2020,POS18OCT MARKS & SPEN,69.84,,972.5699999999999
19/10/2020,POS16OCT TESCO STORE,95.62,,
19/10/2020,ATM16OCT DUBLIN T 003,60.0,,
19/10/2020,POSC18OCT NYA*Clearhi,2.0,,
19/10/2020,POSC18OCT NYA*Clearhi,2.0,,
19/10/2020,POSC18OCT NYA*Clearhi,2.0,,
19/10/2020,POSC18OCT Frascati Sh,2.0,,
16/10/2020,365 Online  Kat Clin,121.5,,1206.0299999999997
16/10/2020,POS15OCT NESPRESSO E-,4.0,,
16/10/2020,POS15OCT TESCO STORE,34.84,,
16/10/2020,POSC15OCT Baumanns ha,33.8,,
16/10/2020,365 Online  80323407,,1000.0,
15/10/2020,Revenue Commi SEPA DD,47.75,,400.1699999999996
15/10/2020,POSC14OCT SPAR NEWTOW,11.57,,
15/10/2020,POSC14OCT G Macaris,3.0,,
14/10/2020,POS13OCT PAYPAL *APPL,2.99,,462.4899999999996
14/10/2020,Panda         SEPA DD,142.13,,
14/10/2020,POSC13OCT ROCKVILLE P,22.9,,
13/10/2020,POS12OCT PAYZONE PARK,20.0,,630.5099999999996
13/10/2020,POS12OCT BLACKROCK VE,62.6,,
13/10/2020,ATM12OCT DUBLIN,40.0,,
13/10/2020,POSC12OCT Butlers Mon,14.7,,
